x,y
-2.112464008748776978e+05,1.261334703954207245e+06
-1.835384619835148333e+05,1.260120726953497855e+06
-1.558235811193760019e+05,1.259077177025423618e+06
-1.815525867396380345e+05,1.308874433629141422e+06
-1.541375792382825748e+05,1.307842174849230563e+06
-1.267167417933447432e+05,1.306978538174273446e+06
-2.608660184929949755e+05,1.361712293597051408e+06
-2.337744644486691395e+05,1.360191257137944922e+06
-2.066740683559243625e+05,1.358836862785157980e+06
-1.795658552326762292e+05,1.357649161765930708e+06
-1.524508503925037221e+05,1.356628199002663139e+06
-3.115313880499139195e+05,1.413968716394341551e+06
-2.847602533955611289e+05,1.412135099134579534e+06
-2.579783482579808333e+05,1.410466159309900133e+06
-2.311866856088088243e+05,1.408961960044594249e+06
-2.043862787887420272e+05,1.407622558231969131e+06
-1.775781414692058170e+05,1.406448004532201681e+06
-1.507632876140161825e+05,1.405438343370420625e+06
-1.239427314410307736e+05,1.404593612935026642e+06
-9.711748738378292182e+04,1.403913845176247647e+06
-2.815710209472386050e+05,1.460897499887280865e+06
-2.550890653983883676e+05,1.459247251705763862e+06
-2.285974616192530957e+05,1.457759899037019117e+06
-2.020972116014071216e+05,1.456435498137165792e+06
-1.755893176634491247e+05,1.455274099099002546e+06
-1.490747824130936933e+05,1.454275745850108331e+06
-1.225546087092520029e+05,1.453440476151184179e+06
-9.602979962409523432e+04,1.452768321594626643e+06
-1.998067175370682671e+05,1.505278865310653578e+06
-1.473852246920636680e+05,1.503143590846692678e+06
-1.211656206990683131e+05,1.502317787781535881e+06
-9.494143386043269129e+04,1.501653251172845019e+06
